id,Total reactions,Comments,Sharing,Positive Reactions,Neutral Reactions,Negative Reactions
289510094866514,1,1,0,1,1,0
259825457834978,0,0,0,0,0,0
493654611118727,0,0,0,0,0,0
337348756749314,0,0,0,0,0,0
271654846652039,1,1,0,1,1,0
345583812592475,1,1,0,0,1,0
321514284999428,0,1,0,0,0,0
490045951479593,0,1,0,0,0,1
408471559637033,0,0,0,0,0,0
489524911531697,0,0,0,0,0,0
468981263586062,0,1,0,0,0,1
287303035087220,0,0,0,0,1,0
492091151275073,0,0,0,0,0,0
331060544044802,0,0,0,0,0,0
314152072402316,1,1,1,1,1,1
349764808841042,0,0,0,0,0,0
341826732968183,1,1,0,1,1,1
1556281944471553,0,0,0,0,0,0
420911651726357,0,0,0,0,0,0
295480697602787,0,0,0,0,0,0
319445001873023,1,1,0,1,1,0
276867386130785,0,0,0,0,0,0
350113782139478,0,0,0,0,1,1
326138664536990,0,0,0,0,1,1
282855695531954,1,1,0,1,1,0
435637160253806,0,0,0,0,0,1
448751285609060,0,0,0,0,0,1
475074836310038,0,0,0,0,0,0
423486791468843,0,1,0,0,1,0
408589232958599,0,0,0,0,0,0
334307140386809,0,1,0,0,1,1
454843044999884,0,0,0,0,0,0
281822812301909,1,1,0,1,1,1
453536861797169,0,0,0,0,0,0
428326407651548,0,0,0,0,0,0
391202681363921,0,0,0,0,1,0
252391795245011,0,0,0,0,0,1
415375392279983,0,0,0,0,0,0
332342417249948,0,1,0,0,1,1
335083393642517,0,1,0,0,0,0
476143866203135,0,0,0,0,1,0
465713590579496,0,0,0,0,0,0
260723264411864,1,1,1,1,1,0
485604825257039,0,0,0,0,0,0
452498015234387,0,0,0,0,0,0
327873694363487,1,1,0,1,1,1
292586057892251,0,0,0,0,0,0
305241703293353,1,1,0,1,1,0
289212928229564,1,1,0,1,1,0
285071148643742,0,0,0,0,1,0
333945727089617,0,0,0,0,0,0
427545297729659,0,0,0,0,0,0
285408451943345,0,0,0,0,0,0
298205097330347,1,1,0,1,1,0
401616820322507,0,1,0,0,1,0
363985230752333,0,1,0,0,1,0
355894398228083,1,0,0,0,1,0
369539443530245,0,1,0,0,0,1
288104668340390,1,1,0,1,1,0
292019794615544,0,0,0,0,0,0
288851394932384,1,1,0,1,1,1
262495704234620,1,1,0,1,1,0
275432322940958,1,0,0,1,1,0
491068044710717,1,1,0,1,1,0
271287036688820,1,1,0,0,1,1
302538700230320,1,1,0,1,1,1
276865316130992,1,1,0,1,0,1
359235244560665,0,0,0,0,1,0
484566015360920,0,1,0,0,0,1
268538200297037,0,1,0,0,1,0
309030172914506,0,0,0,0,0,0
280735755743948,0,0,0,0,0,0
348454325638757,0,1,0,0,0,1
345931985890991,1,1,0,1,1,1
276492512834939,1,1,1,1,1,1
283712062112984,0,1,0,0,0,1
467718980378957,0,0,0,0,0,0
256982834785907,1,1,1,1,1,1
399766917174164,0,1,0,0,1,0
279235605893963,1,1,0,1,0,1
301010260383164,0,0,0,0,0,0
288330684984455,0,0,0,0,0,0
338106006673589,0,1,0,0,0,0
305592733258250,0,1,0,0,0,0
411893815961474,0,1,0,0,0,1
296201300864060,0,1,0,0,0,1
483387635478758,0,1,0,0,0,1
289764224841101,1,1,0,1,1,1
386885315128991,0,0,0,0,1,0
351424952008361,0,0,0,0,0,0
491711387979716,0,1,0,0,0,0
286408378510019,1,1,0,1,1,1
311934719290718,1,1,0,1,1,0
255019404982250,1,1,0,1,1,0
373044839846372,0,0,0,0,0,0
351889395295250,0,0,0,0,0,0
